_id,Nummer,Name,Breitengrad,Längengrad,Standorttyp,Koordinaten,Kunden-ID,Objektmanager-ID,Vorname,Nachname,Status,Rechnungsempfänger-IDs,Tags,Straße,PLZ,Stadt,Land,Gehalt,Fahrtzeitenerfassung erlaubt,lastModified,Schlüssel,Beschreibung,Sicherheitscode,Enddatum,Startdatum,lead_id
65e5bbb6f468e86d0a09a6c9,100005,Betty Barclay Store Pauschal,"52,4646622","13,3266775",Point,"[13.326677499999999,52.4646622]",65e5bbb4df7dc7b55f078d4a,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Schlossstr.1,12163,Berlin,Deutschland,0,false,22.08.2024 10:38:10,,,,,,
54c48f8d-dd64-43c2-b77f-571709c4e4e9,,Lyreco,,,,,,,,,0,,,,,Berlin,,,,06.05.2024 09:56:49,,,,,,
665eb1fcbec4478207023065,100016,TJW Weinbergstraße ,"52,6811258","13,5787713",Point,"[13.5787713,52.6811258]",6377c32c3febd22780779aab,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],,Weinbergstraße 34,16321,Bernau bei Berlin,Deutschland,,false,04.06.2024 08:29:32,,,,,,
6654125b4ba72767b30223a6,10172,Stiftung Planetarium Berlin,"52,5435835","13,4278042",Point,"[13.427804199999999,52.5435835]",6654125bb4cd76d31206bcf5,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Prenzlauer Allee 80,10405,Berlin,Deutschland,0,false,05.06.2024 12:18:05,,,,,,
c48e91cf-c182-453a-b89e-8ca18ad484cc,,Romihase,,,,,,,,,0,,,,Friefrichsgagen,Berlin,,,,06.06.2024 11:08:43,,,,,,
666311ced27e5d96f00fa2f7,10173,Praxis Medial,"52,558543","13,4124961",Point,"[13.4124961,52.558543]",66631143c021585bb50e4172,63775f7364a9c65fa6587f8b,Mäysel,Jahn,2,[],[],Brennerstraße 90,13187,Berlin,Deutschland,0,false,02.07.2024 12:11:49,,,,1719871200000,,
8236390d-522d-42c2-bec7-a35d87d4586c,,Schönefeld ,,,,,,,,,0,,,Käthe niederkirchener Straße 34,10407,Berlin,,,,12.06.2024 16:23:17,,,,,,
362ef8fd-48c1-4fe9-9f3b-c7db16a099f1,,Fliesen laden steglitz,,,,,,,,,0,,,Schützenstraße 1,12165,Berlin,,,,13.06.2024 11:14:20,,,,,,
666a8d13d87f3a2da5040182,100017,Etablissement Styling Makeup Hair Pauschal,"52,5305634","13,4344555",Point,"[13.4344555,52.5305634]",666a8d128a132076f0032802,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Hufelandstr. 36,10407,Berlin,Deutschland,0,false,06.08.2024 12:19:08,,,,,,
bca95c0a-4745-4a35-af5a-a0dd5db071df,,Kinderarztpraxis Grit Euler,,,,,,,,,0,,,Sredskistraße 35,10435,Berlin,,,,17.06.2024 13:31:14,,,,,,
3ecc6fde-0c8c-47ce-a93a-46fb42c31129,,Mig raven,,,,,,,,,0,,,,,Berlin,,,,18.06.2024 12:16:41,,,,,,66716a7208eaccf7ce049e45
66716a7208eaccf7ce049e45,10176,migRaven GmbH pauschal,"52,5224259","13,3228533",Point,"[13.3228533,52.5224259]",66716a72d9df944b3c0b0363,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Hallerstraße 6,10587,Berlin,Deutschland,0,false,18.07.2024 17:20:51,,,,,,
905c86e8-a533-4133-aa21-ebf9b2f9f0c2,,Barbette,,,,,,,,,0,,,Karl Marx Allee 36,10178,Berlin,,,,24.06.2024 14:38:15,,,,,,
667d1a09a35ee9bdd30153fc,100021,"Wuppertal Institut für Klima, Umwelt, Energie gGmbH Pauschal","52,537371","13,3730638",Point,"[13.373063799999999,52.537371]",667d19d437ae364cdd010c62,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Chausseestraße 86,10115,Berlin,Deutschland,0,false,01.10.2024 15:37:23,,,,,,
66715c040258ef3b16007286,100018,Salome Schmuck,"52,5001951","13,3492562",Point,"[13.3492562,52.500195100000006]",66715c0375176c690c0bec91,63775f7364a9c65fa6587f8b,Mäysel,Jahn,2,[],[],Kleiststraße 35,10787,Berlin,Deutschland,0,false,18.07.2024 17:21:35,,,,1719871200000,,
665d83e330ac6323c50bbfc4,100015,Triple A Marketing GmbH,"52,510095","13,3773671",Point,"[13.3773671,52.510095]",665d83e3f5ac4be66801f544,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Leipziger Platz 18,10117,Berlin,Deutschland,0,false,02.07.2024 13:38:08,,,,,,
ef9e37e5-5cac-4212-a926-d1b18a69e200,,Koepjohann'sche Stiftung,,,,,,,,,0,,,Größe Hamburger Straße 29,,Berlin,,,,04.07.2024 10:32:51,,,,,,
492cc55b-435c-420b-a6a6-371425f1b9a7,,Artibute,,,,,,,,,0,,,Chausseestraße 86,,Berlin,,,,04.07.2024 14:57:53,,,,,,
667267c1a600460b7f034c2c,100020,Vencon Research International GmbH,"52,5558889","13,413174",Point,"[13.413174,52.5558889]",667267c00aefe82bdb0fa4a3,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Berliner Straße 69,13189,Berlin,Deutschland,0,false,08.07.2024 11:50:58,,,,,,
e73456e5-8b31-42fa-a5dc-835daa289b1e,,Berlin Global Village gGmbH,,,,,,,,,0,,,Am Sudhaus 2,12053,Berlin,,,,08.07.2024 13:57:05,,,,,,
04b1b79b-b2fd-44d1-8cc1-dba0702944ea,,Bürgermeister,,,,,,,,,0,,,Wahrschauer str,,Berlin,,,,08.07.2024 16:11:08,,,,,,
6c336903-652d-48ec-8637-6da770eace63,,Sygan,,,,,,,,,0,,,Straße der Einheit 114,,Falkensee,,,,22.07.2024 12:09:04,,,,,,
53a25ddc-8cc2-4c7e-be7f-9c0830edcba6,,Fotostudio Stilllife ,,,,,,,,,0,,,Koppenstraße 21,10243,Berlin,,,,22.07.2024 14:02:05,,,,,,
c3e11200-ee5f-45e7-b90e-6852f30d49df,,Evas Arche,,,,,,,,,0,,,Große Hamburger Str 28,,Berlin,,,,22.07.2024 14:40:19,,,,,,
b1f765ad-5a3c-443d-8086-44f108428bbb,,Fun architekten ,,,,,,,,,0,,,Hagenauer Straße 3,,Berlin,,,,24.07.2024 09:33:01,,,,,,
66a72337bc21a06f2201d1d0,100026,Knippenberg Käse,"52,5171735","13,4463098",Point,"[13.4463098,52.5171735]",64eb4d7b687332e91a01e89a,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],,Karl-Marx-Allee 113 -115,10243,Berlin,Deutschland,,false,29.07.2024 08:07:36,,,,,,
66a73742ebd1cc336c0ca78a,100027,Anwaltssozietät Jurati Pauschal,"52,5508493","13,414471",Point,"[13.414470999999999,52.550849299999996]",66a7374128925f392c017b34,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Schönhauser Allee 83,10439,Berlin,Deutschland,0,false,04.09.2024 13:14:42,,,,,,
04467e89-36de-49b4-b5ed-9d29e51ef507,,Weingarten ,,,,,,,,,0,,,Tautzinstraße 1,,Berlin,,,,29.07.2024 11:22:26,,,,,,
66a8c0ef965478124e043cb5,100028,fun architekten und und ingenieure Pauschal,"52,53914","13,4166423",Point,"[13.4166423,52.539139999999996]",66a8c0bc6f2cee1a30023efc,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Hagenauerstraße 3,10435,Berlin,Deutschland,0,false,04.09.2024 13:59:37,,,,,,
66a0cfa2641714bda406f7a6,100025,Ulrich Hartmann - Studio 21,"52,5149089","13,436052",Point,"[13.436052,52.514908899999995]",66a0cfa107406086f6084d24,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Koppenstraße 21,10243,Berlin,Deutschland,0,false,31.07.2024 08:53:35,,,,,,
66b07f6165b7f2ae9700dc68,100029,Arztpraxis für manuelle Medizin Martina Igel Pauschal,"52,5419513","13,4231724",Point,"[13.423172399999999,52.5419513]",66b07f61a2f6f242330f7740,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Senefelderstraße 10,10437,Berlin,Deutschland,0,false,04.09.2024 13:24:11,,,,,,
6694f81f44387f58770e1871,100024,Slim Chickens,"52,5119848","13,3899863",Point,"[13.389986299999999,52.5119848]",6694f81fa9e554c4fa075881,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Mohrenstraße 17,10117,Berlin,Deutschland,0,false,16.08.2024 12:43:08,,,,,,
f09a7578-6048-408c-906c-036b08145749,,Test,,,,,,,,,0,,,Test,13158,Berlin,,,,08.08.2024 15:16:55,,,,,,
6683aea2bb007847f00116c0,100022,AWO Fachschule für Sozialwesen,"52,517728","13,4789266",Point,"[13.478926600000001,52.517728]",6683aea292b63524bd029e10,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Am Stadtpark 5,10367,Berlin,Deutschland,0,false,13.08.2024 09:58:15,,,,,,
66b49c39ddd670b9fe0d712b,100030,Bildungs- und Sozialwerk des Lesben- und Schwulenverbandes Berlin-Brandenburg (BLSB) e.V.,"52,517728","13,4789266",Point,"[13.478926600000001,52.517728]",66b49c387489e1d3dd0e55e3,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Am Stadtpark 5,10367,Berlin,Deutschland,0,false,14.08.2024 11:27:22,,,,,,
66c82629753afbeb3e08362d,100031,Hueber GmbH Personal Leasing und Service,"52,4593498","13,3235342",Point,"[13.323534200000001,52.4593498]",66c82628f3db3e3a380438dc,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Schloßstraße 100,12163,Berlin,Deutschland,0,false,23.08.2024 09:19:42,,,,,,
e259ff72-4985-4168-aa91-8a266fe244ec,,Starthilfe e.V ,,,,,,,,,0,,,Neumannstraße ,,Berlin,,,,27.08.2024 12:47:27,,,,,,
2292e8e9-cdb0-45e2-9632-a590fb9c4f14,,Resmini ,,,,,,,,,0,,,Storkower Straße 207B,,Berlin,,,,29.08.2024 11:01:22,,,,,,
9e66c092-8090-40d7-a497-6ebb841d5960,,Remini Elntrachtstraße 1,,,,,,,,,0,,,Elntrachtstraße 1,13187,Berlin,,,,30.08.2024 08:48:03,,,,,,
